series_id	area_code	item_code	footnote_codes	begin_year	begin_period	end_year	end_period
APU0000701111    	0000	701111	          	1980	M01	2014	M02
APU0000701311    	0000	701311	          	1980	M01	1981	M12
APU0000701312    	0000	701312	          	1980	M01	2014	M02
APU0000701321    	0000	701321	          	1980	M01	1981	M03
APU0000701322    	0000	701322	          	1984	M01	2014	M02
APU0000702111    	0000	702111	          	1980	M01	2014	M02
APU0000702112    	0000	702112	          	1980	M01	1998	M05
APU0000702211    	0000	702211	          	1980	M01	1981	M12
APU0000702212    	0000	702212	          	1980	M01	2014	M02
APU0000702213    	0000	702213	          	1980	M01	1981	M12
APU0000702221    	0000	702221	          	1980	M01	1984	M09
APU0000702411    	0000	702411	          	1980	M01	1986	M12
APU0000702421    	0000	702421	          	1980	M01	2014	M02
APU0000702611    	0000	702611	          	1980	M01	2000	M10
APU0000703111    	0000	703111	          	1980	M01	2014	M02
APU0000703112    	0000	703112	          	1984	M01	2014	M02
APU0000703113    	0000	703113	          	1991	M01	2014	M02
APU0000703211    	0000	703211	          	1980	M01	1996	M08
APU0000703212    	0000	703212	          	1991	M01	2014	M02
APU0000703213    	0000	703213	          	1989	M01	2014	M02
APU0000703311    	0000	703311	          	1980	M01	2014	M02
APU0000703312    	0000	703312	          	1991	M01	2012	M07
APU0000703411    	0000	703411	          	1980	M01	1997	M12
APU0000703421    	0000	703421	          	1980	M01	1987	M05
APU0000703422    	0000	703422	          	1980	M01	2002	M04
APU0000703423    	0000	703423	          	1980	M01	1986	M12
APU0000703425    	0000	703425	          	1991	M01	2001	M10
APU0000703431    	0000	703431	          	1991	M01	2011	M05
APU0000703432    	0000	703432	          	1991	M01	2014	M02
APU0000703511    	0000	703511	          	1980	M01	2014	M02
APU0000703512    	0000	703512	          	1991	M01	2014	M02
APU0000703611    	0000	703611	          	1980	M01	1994	M04
APU0000703612    	0000	703612	          	1991	M01	2013	M09
APU0000703613    	0000	703613	          	1989	M01	2014	M02
APU0000704111    	0000	704111	          	1980	M01	2014	M02
APU0000704211    	0000	704211	          	1980	M01	2014	M02
APU0000704212    	0000	704212	          	1995	M07	2014	M02
APU0000704311    	0000	704311	          	1980	M01	2014	M02
APU0000704312    	0000	704312	          	1991	M01	2014	M02
APU0000704313    	0000	704313	          	1980	M01	1983	M03
APU0000704314    	0000	704314	          	1980	M01	1982	M07
APU0000704321    	0000	704321	          	1980	M01	1992	M11
APU0000704411    	0000	704411	          	1980	M01	1981	M12
APU0000704412    	0000	704412	          	1980	M01	1987	M07
APU0000704413    	0000	704413	          	1980	M01	1997	M12
APU0000704421    	0000	704421	          	1980	M01	2002	M09
APU0000705111    	0000	705111	          	1980	M01	1997	M12
APU0000705121    	0000	705121	          	1980	M01	2014	M02
APU0000705141    	0000	705141	          	1980	M01	1988	M10
APU0000705142    	0000	705142	          	1991	M01	1994	M01
APU0000706111    	0000	706111	          	1980	M01	2014	M02
APU0000706211    	0000	706211	          	1980	M01	2011	M10
APU0000706212    	0000	706212	          	1980	M01	2014	M02
APU0000706311    	0000	706311	          	1980	M01	2014	M02
APU0000707111    	0000	707111	          	1980	M01	2005	M05
APU0000708111    	0000	708111	          	1980	M01	2014	M02
APU0000708112    	0000	708112	          	1980	M01	1997	M12
APU0000709111    	0000	709111	          	1980	M01	1997	M12
APU0000709112    	0000	709112	          	1995	M07	2014	M02
APU0000709211    	0000	709211	          	1980	M01	1986	M05
APU0000709212    	0000	709212	          	1980	M01	1992	M09
APU0000709213    	0000	709213	          	1995	M07	2002	M10
APU0000710111    	0000	710111	          	1980	M01	2012	M04
APU0000710122    	0000	710122	          	1980	M01	2003	M03
APU0000710211    	0000	710211	          	1984	M01	2014	M02
APU0000710212    	0000	710212	          	1984	M01	2014	M02
APU0000710411    	0000	710411	          	1980	M01	2014	M02
APU0000711111    	0000	711111	          	1980	M01	2014	M02
APU0000711211    	0000	711211	          	1980	M01	2014	M02
APU0000711311    	0000	711311	          	1980	M01	2014	M02
APU0000711312    	0000	711312	          	1980	M06	2013	M08
APU0000711411    	0000	711411	          	1980	M01	2014	M02
APU0000711412    	0000	711412	          	1980	M01	2014	M02
APU0000711413    	0000	711413	          	1980	M01	2012	M04
APU0000711414    	0000	711414	          	1980	M06	2013	M09
APU0000711415    	0000	711415	          	1980	M04	2014	M02
APU0000711416    	0000	711416	          	1980	M01	1987	M12
APU0000711417    	0000	711417	          	1980	M07	2014	M02
APU0000711418    	0000	711418	          	1980	M06	2013	M08
APU0000712111    	0000	712111	          	1980	M01	1986	M02
APU0000712112    	0000	712112	          	1986	M03	2014	M02
APU0000712211    	0000	712211	          	1980	M01	2014	M02
APU0000712311    	0000	712311	          	1980	M01	2014	M02
APU0000712401    	0000	712401	          	1980	M01	2012	M10
APU0000712402    	0000	712402	          	1980	M01	2012	M10
APU0000712403    	0000	712403	          	1980	M01	2014	M02
APU0000712404    	0000	712404	          	1980	M01	1997	M12
APU0000712405    	0000	712405	          	1980	M01	1987	M07
APU0000712406    	0000	712406	          	1980	M01	2014	M02
APU0000712407    	0000	712407	          	1980	M04	1988	M06
APU0000712408    	0000	712408	          	1980	M01	1989	M02
APU0000712409    	0000	712409	          	1980	M01	2000	M04
APU0000712410    	0000	712410	          	1980	M01	1989	M02
APU0000712411    	0000	712411	          	1980	M01	1986	M01
APU0000712412    	0000	712412	          	1995	M07	2014	M02
APU0000713111    	0000	713111	          	1980	M01	2014	M02
APU0000713311    	0000	713311	          	1995	M07	1997	M12
APU0000713312    	0000	713312	          	1995	M07	1997	M12
APU0000714111    	0000	714111	          	1980	M01	2005	M02
APU0000714221    	0000	714221	          	1995	M07	2014	M02
APU0000714231    	0000	714231	          	1980	M01	1988	M02
APU0000714232    	0000	714232	          	1995	M07	1997	M12
APU0000714233    	0000	714233	          	1995	M07	2014	M02
APU0000715111    	0000	715111	          	1980	M01	1986	M11
APU0000715211    	0000	715211	          	1980	M01	2014	M02
APU0000715212    	0000	715212	          	1980	M01	2014	M02
APU0000715311    	0000	715311	          	1980	M01	1981	M12
APU0000716111    	0000	716111	          	1980	M01	1981	M12
APU0000716113    	0000	716113	          	1980	M01	1980	M12
APU0000716114    	0000	716114	          	1984	M01	2012	M09
APU0000716116    	0000	716116	          	1984	M01	2014	M02
APU0000716121    	0000	716121	          	1980	M01	2005	M04
APU0000716141    	0000	716141	          	1984	M01	2014	M02
APU0000717111    	0000	717111	          	1980	M01	1986	M07
APU0000717112    	0000	717112	          	1980	M01	1981	M12
APU0000717113    	0000	717113	          	1980	M01	1992	M02
APU0000717114    	0000	717114	          	1995	M07	2009	M05
APU0000717311    	0000	717311	          	1980	M01	2014	M02
APU0000717312    	0000	717312	          	1980	M01	1988	M08
APU0000717324    	0000	717324	          	1984	M01	1987	M11
APU0000717325    	0000	717325	          	1984	M01	1984	M09
APU0000717326    	0000	717326	          	1984	M01	1985	M11
APU0000717327    	0000	717327	          	1995	M07	2003	M09
APU0000717411    	0000	717411	          	1980	M01	1982	M12
APU0000717412    	0000	717412	          	1980	M01	1981	M08
APU0000717413    	0000	717413	          	1980	M01	1983	M10
APU0000718311    	0000	718311	          	1980	M01	2014	M02
APU0000718631    	0000	718631	          	1980	M01	1986	M01
APU0000720111    	0000	720111	          	1995	M07	2014	M02
APU0000720211    	0000	720211	          	1985	M12	1986	M12
APU0000720221    	0000	720221	          	1985	M12	1986	M12
APU0000720222    	0000	720222	          	1995	M07	2012	M09
APU0000720311    	0000	720311	          	1995	M07	2014	M02
APU000072511     	0000	72511	          	1978	M11	2014	M02
APU000072601     	0000	72601	          	1978	M11	2013	M06
APU000072610     	0000	72610	          	1978	M11	2014	M02
APU000072611     	0000	72611	          	1978	M11	2013	M06
APU000072620     	0000	72620	          	1978	M11	2014	M02
APU000072621     	0000	72621	          	1978	M11	2013	M06
APU000074712     	0000	74712	          	1973	M10	1991	M04
APU000074713     	0000	74713	          	1973	M10	1983	M12
APU000074714     	0000	74714	          	1976	M01	2014	M02
APU000074715     	0000	74715	          	1993	M12	2014	M02
APU000074716     	0000	74716	          	1981	M09	2014	M02
APU000074717     	0000	74717	          	1998	M01	2014	M02
APU00007471A     	0000	7471A	          	1978	M01	2014	M02
APU0000FC1101    	0000	FC1101	          	1998	M01	2014	M02
APU0000FC2101    	0000	FC2101	          	1998	M01	2014	M02
APU0000FC3101    	0000	FC3101	          	1998	M01	2014	M02
APU0000FC4101    	0000	FC4101	          	1998	M01	2014	M02
APU0000FD2101    	0000	FD2101	          	1998	M01	2014	M02
APU0000FD3101    	0000	FD3101	          	1998	M01	2014	M02
APU0000FD4101    	0000	FD4101	          	1998	M01	2014	M02
APU0000FF1101    	0000	FF1101	          	2006	M01	2014	M02
APU0000FL2101    	0000	FL2101	          	2006	M01	2014	M02
APU0100701111    	0100	701111	          	1980	M01	2014	M02
APU0100701311    	0100	701311	          	1980	M01	1985	M11
APU0100701312    	0100	701312	          	1980	M01	1997	M09
APU0100701321    	0100	701321	          	1980	M01	1980	M10
APU0100701322    	0100	701322	          	1984	M01	2005	M04
APU0100702111    	0100	702111	          	1980	M01	2014	M02
APU0100702212    	0100	702212	          	1980	M12	1986	M12
